gene,DM_1,DM_2,DM_3,DM_4,DM_5,selected,Pseudoorder-1,Pseudoorder-2
MYB,0.00013554694879755323,0.0006746522507206542,-0.002921293056376886,0.00027234720408824233,-0.0005346313766924928,Trajectory-2,0.0,7.0
MYC,-0.006806043408784566,0.002148508630369859,-0.0035058927674283956,-0.006038358741227292,-0.013360277854625197,Trajectory-1,138.0,0.0
MYL4,-0.00513625287042365,0.00023242985302304354,-0.004539201996944322,-0.004373414138610474,-0.003940758725464471,Trajectory-1,114.0,0.0
MYL7,-0.011537177815683483,-0.011665215979223008,-0.0018943211095842766,-0.0013542052377062384,0.00189613591145888,Trajectory-1,196.0,0.0
MYO5B,-0.0059824832830127584,0.0018500225718852334,-0.0009025438310394094,-0.0026488917202174833,0.0018901740607679546,Trajectory-1,152.0,0.0
MYOF,0.0026186051423739954,-0.0004676963240559268,0.00129468980131299,0.0005895038720656318,-8.906051054865118e-05,Trajectory-2,0.0,178.0
NABP1,0.0026508368402832234,-0.00030499169527585643,0.000268647967987616,0.0023018612937690656,-0.0007901470538409594,Trajectory-2,0.0,111.0
NDUFB3P5,0.0016561142860621403,-0.0001690907239526915,0.0005417588058748916,3.013818463829037e-05,-6.487687296097391e-05,Trajectory-2,0.0,172.0
NEFH,0.001912176531200805,9.422393134904688e-05,-0.0011792085267721603,0.0022343682143045186,-0.0005120809896956503,Trajectory-2,0.0,28.0
NEURL1,-0.0037652417562518458,0.0013891599141587342,-0.0023816813432989995,-0.002053653674984258,-0.000588315135554236,Trajectory-1,115.0,0.0
NEXN,-0.0022500411902200623,0.00023414925468295095,-0.0038428789393088617,-0.0016587394479720848,0.001380534910448465,Trajectory-1,44.0,0.0
NFIX,0.0020107480113209547,-7.341434091426649e-05,-0.0002990495775449441,0.0013038538485899388,-0.0004894491282020935,Trajectory-2,0.0,119.0
NKD1,-0.007570098014662061,-0.0024760903431187546,-0.003212008841311809,-0.00390001546997876,0.000609623820597499,Trajectory-1,160.0,0.0
NOTCH4_2,0.004177251049461002,-0.0017013505051586136,0.006349747884725606,-0.0036143707323471577,-3.691289310610521e-05,Trajectory-2,0.0,252.0
NPIPB15,0.0029990654869449123,-0.0006158638941896547,0.001680184445219006,0.0009186702453020904,-0.0005353944659853479,Trajectory-2,0.0,181.0
NPIPB5,0.003150524077323643,-0.0006902666732426815,0.001920922606048615,0.0009549230474692999,-0.0005532167560604233,Trajectory-2,0.0,182.0
NPR3,0.00424466953519952,-0.0017957494092457624,0.006787269366500104,-0.00425416924721647,0.0001620508231579511,Trajectory-2,0.0,260.0
NPY1R,0.0014935180025388447,6.801790855023564e-05,-0.0010513139691398596,0.0012118514634062523,0.00017346545930580612,Trajectory-2,0.0,85.0
