gene,DM_1,DM_2,DM_3,DM_4,DM_5,selected,Pseudoorder-1,Pseudoorder-2,Pseudoorder-3
Dnaic2,0.00043951843825982694,-0.0003408245959389843,0.0008663277517088633,-0.01366715702813901,0.005765329706190064,Other,0.0,0.0,0.0
Dnajb13,0.00027013756791315855,-0.00025571418159245064,0.0008131879953680707,-0.015469376462013002,0.006275751739243097,Other,0.0,0.0,0.0
Dnali1,0.0007643811741038583,-0.0005220361846989861,0.0009433292371197625,-0.006174648008447215,0.003307514835882193,Other,0.0,0.0,0.0
Dnmt3b,0.0012966011030659998,-0.0008770735541606422,0.0012652708847674797,0.006303556100333234,0.008241723189884653,Other,0.0,0.0,0.0
Dppa3,0.0013398714814711293,-0.0009085626422097521,0.0013263634487334283,0.0074069709084625636,0.010931226893446437,Other,0.0,0.0,0.0
Dppa4,0.001014407836369922,-0.0006618676197351377,0.0010531816396811477,0.002910432618430322,0.003463326228289117,Other,0.0,0.0,0.0
Drc1,0.000914263479144068,-0.000599345108674025,0.001002825558781032,-0.0022311761428180227,0.0022190942151706855,Other,0.0,0.0,0.0
Drc3,0.0009983990067937646,-0.0006601584565140173,0.0010265582870254404,-0.0006411620881167136,0.0015716341828042404,Other,0.0,0.0,0.0
Dynlrb2,0.00021574894595639637,-0.00026071376910079486,0.0007993522582764495,-0.016314460195516283,0.006754465321836091,Other,0.0,0.0,0.0
Ecscr,-0.0008090074579921864,0.003332959989509584,0.0004385985799823893,-0.004985855627731443,-0.006999647941469167,Other,0.0,0.0,0.0
Efcab10,0.0011018859208532098,-0.0007309212309230577,0.0010936752802839828,0.001677313766372961,0.00267145206200544,Other,0.0,0.0,0.0
Efhc1,0.0007261337970720488,-0.0004117161212080053,0.0008685302846709285,-0.004787369055577744,0.0006578741980920334,Other,0.0,0.0,0.0
Egr2,0.0011523941852129287,-0.0007662716748282375,0.0010064071446532993,0.0027756412631822678,0.00043118325639911794,Other,0.0,0.0,0.0
Ehf,0.0010294601763969542,-0.0006814766315205779,0.0009609770601307241,5.8837838535070847e-05,-5.949297348758147e-05,Other,0.0,0.0,0.0
Elk3,-0.004072813574161556,0.012050554531556098,0.00014762971695979257,-0.007782935406054759,-0.011220338802215568,Trajectory-3,0.0,0.0,3.0
Elmod1,0.0005082221124975458,-0.00038877797082583534,0.0009254686059563516,-0.013569428196596501,0.006297174536418714,Other,0.0,0.0,0.0
