gene,DM_1,DM_2,DM_3,DM_4,DM_5,selected,Pseudoorder-1,Pseudoorder-2
CD79B,-0.014724790337454352,-0.02466599634422433,0.009002918161920472,-0.004961042128772929,0.0037312616396428786,Trajectory-1,17.0,0.0
CDH6,0.009204008221874413,-0.004369139455695008,0.00024715116522895555,0.006620997811618993,0.00024540243162875214,Trajectory-2,0.0,159.0
CDIPTOSP,-0.0036026902379322086,0.0020838902803748966,-0.0016017154747069357,1.7327824772485902e-06,0.002646746809926518,Trajectory-1,179.0,0.0
CFAP92,0.004656064344516968,-0.0005648385437877907,-0.00017841610648362057,-0.0017085839508074686,-0.0002241188538736383,Trajectory-2,0.0,66.0
CHMP4B,-0.0027515096422851574,0.0018189556614952261,-0.0024654728959607004,-0.001206342720766595,0.0017692812451441406,Trajectory-1,181.0,0.0
CLEC14A,0.009010239205005724,-0.004246604945469304,0.0002470592150059215,0.0066786367127521385,0.0006205186529175366,Trajectory-2,0.0,161.0
CLEC1B,-0.007069014440328152,0.002024503772746565,-0.005666641138632207,0.003152042329510366,0.0027244613492958796,Trajectory-1,96.0,0.0
CLVS1,-0.004715745330464028,0.0020163621980049504,-0.0036026340746148212,0.0005790765686380861,0.0019762598981094984,Trajectory-1,147.0,0.0
CNTD1,0.0005576807799835165,0.0012411356879730192,-0.0005818262275847782,-0.002257597691038572,0.0008665614449596746,Trajectory-1,226.0,0.0
CNTNAP5,-0.00044691417363909927,0.0016403788147591979,-0.0008046893963112076,-0.0026362106018359686,0.00067180063282108,Trajectory-1,225.0,0.0
COL15A1,-0.0010537968262888807,0.001438225866144078,-0.0023669273739738684,-0.0016310283113702918,0.0015866427641367212,Trajectory-2,0.0,5.0
COL16A1,0.002327442537172814,0.0006038014737362163,-0.0006772309356951948,-0.002379186086896891,0.0007869706977843871,Trajectory-2,0.0,46.0
COL1A1,0.004071659718792386,0.0005341811529732998,0.0007073406108242607,-0.004000197402393947,-0.0009864703302852888,Trajectory-2,0.0,44.0
COL3A1,-0.0037823588444893274,0.0022453765530841825,-0.002774922149602695,0.00018776728643883297,0.002506073266520927,Trajectory-1,173.0,0.0
COL5A2,0.00024147608430479534,0.0050236098174325835,0.006242236180018903,-0.006466897436892807,-0.0013959386420126587,Trajectory-1,309.0,0.0
COL8A1,0.007349448722926276,-0.002555234879968121,0.000174711698813439,0.002126145726071774,-0.0003390483499165208,Trajectory-2,0.0,126.0
CORO1A,0.0036979905089305188,-0.0005577155964415523,0.00016728197929784025,-0.002348877436794211,-0.0009205241809830296,Trajectory-2,0.0,59.0
CPN1,-0.003926412535668031,0.0019041697131853342,-0.003320898351587761,0.00018026678147978783,0.0018530663308830306,Trajectory-1,163.0,0.0
CPZ,0.005085309373911095,0.00046771749240819195,0.0017385554800852733,-0.005272708598770762,-0.0027122285591772727,Trajectory-2,0.0,6.0
CREBRF,0.0014324338412710345,0.001260648608183247,-0.0007455171494879743,-0.003305377386252747,0.000801018461483184,Trajectory-2,0.0,10.0
CRYGEP,0.002019561227111922,0.0006637956396036986,-0.0008050468465286268,-0.0025263867020697273,0.00047561958916099407,Trajectory-2,0.0,35.0
CSNK2A2,0.007116013630074514,-0.0017150778983573214,0.0008362644438342884,-0.0013303005796435376,-0.0024680196315788197,Trajectory-2,0.0,79.0
CSPG4,0.0009905715147046571,0.0006140836980043381,-0.0007562023291361963,-0.001975478690894729,-0.0003199734040793595,Trajectory-1,214.0,0.0
CST1,-0.005963461228510162,0.0020093400892648387,-0.003598106005285239,0.001459910308248799,0.001615234015270883,Trajectory-1,136.0,0.0
CTHRC1,0.003867245223150065,-5.425040994421682e-05,-0.00033537191011573673,-0.0017889125567163405,0.000314691859752285,Trajectory-2,0.0,70.0
CTXN1,-0.002980580791070709,0.003529623116231353,0.002569011376266203,-0.0011539408205721528,0.0005801435975715818,Trajectory-1,232.0,0.0
CXCL17,-0.007319052244189308,0.0020612242467278196,-0.005912822560774593,0.003574184738006128,0.0021855238055325707,Trajectory-1,91.0,0.0
CXCL2,-0.007447240054180113,0.002284047032940252,-0.006140106617163001,0.0038717909711597728,0.002179979013655852,Trajectory-1,95.0,0.0
CXCL8,-0.004075332825101232,0.001697070280648046,-0.00315112026408632,0.00046863138110709354,0.0018437505947535976,Trajectory-1,151.0,0.0
CXCR4,-0.006045088102663024,0.011253261145122909,0.020595913181088006,0.0060770634383441775,0.0006029890490678667,Trajectory-1,285.0,0.0
CYGB,0.0005393985959881198,0.004034169518765259,0.004333097703846049,-0.005964279221716996,-0.0010273384229362277,Trajectory-1,290.0,0.0
CYP11B1,-0.010253545003314504,-0.0017174366220970854,-0.0044949394026718775,0.006048327265666259,-0.019424802465436757,Trajectory-1,39.0,0.0
CYP26A1,-0.004971141447844108,0.011051026529239637,0.020065831719276436,0.004145352287346177,0.0003830370597407189,Trajectory-1,299.0,0.0
CYP2C8,0.0007565297282937874,0.001077134757798779,-0.0010450246574690229,-0.0013673551184469276,0.001480493790410539,Trajectory-1,224.0,0.0
CYP4F12,-0.011278627200021825,-0.006004199812999597,-0.002070788165064568,0.004346599896153239,-0.016675178395528494,Trajectory-1,31.0,0.0
CYP4F23P,-0.007303852792349019,0.003325877531864871,-0.0078095903509326995,0.004561870685066698,0.007469780269346444,Trajectory-1,104.5,0.0
DCBLD2,0.006633668696367533,-0.0012506975830416252,0.0008763742548228856,-0.0023033520339268733,-0.002498062528980597,Trajectory-2,0.0,62.0
DCC,0.004057365161762752,-0.0005576003857949327,-0.00010169814575014373,-0.001620491373270037,-0.0005082905460552533,Trajectory-2,0.0,72.0
DGKG,-0.006542013839612511,-0.000492092584303677,-0.002506570313940046,0.0010454427428970377,-0.0032044053938608636,Trajectory-1,70.0,0.0
DKK2,-0.0011568887698294168,0.0019698129413942512,-0.001214554388609067,-0.0017526231976926039,0.0016613385394889245,Trajectory-1,218.0,0.0
DKK4,-0.008401516970636794,0.014822995555064796,0.030584553717501156,0.014325388318571143,0.0016258992315058382,Trajectory-1,289.0,0.0
DLX5,-0.001378474520130362,0.005629408534457922,0.0073505920442322285,-0.003821140858347189,-0.0007410923205408853,Trajectory-1,283.0,0.0
DLX6,0.0007599984438590325,0.0013872961237857257,-0.0004971838332507289,-0.0025222139603905233,0.0006588370750891308,Trajectory-1,234.0,0.0
DNAH8,-0.010975413236518525,-0.010856500484761509,0.0016572647746096916,-0.000359966235890669,-0.003251667920843089,Trajectory-1,29.0,0.0
DNAJC5G,-0.007772082619070619,0.0018555114735257945,-0.006163138997700889,0.0040111722230220335,0.0014644307035160684,Trajectory-1,85.0,0.0
