dataset,variant,seed,coherence,coverage,strength,n_sig
gastrulation_erythroid,PRISM_opt10,5,0.3975400502040475,0.819047619047619,1.7339556237839129,452
gastrulation_erythroid,PRISM_opt10,6,0.4224355518637511,0.8401069518716578,1.8085387156726724,488
gastrulation_erythroid,PRISM_opt10,7,0.4224355518637511,0.8401069518716577,1.808538715672672,488
gastrulation_erythroid,PRISM_opt10,8,0.4045021222925348,0.8406593406593407,1.7790993475017522,525
gastrulation_erythroid,PRISM_opt10,9,0.4146922464393089,0.8400000000000001,1.8883894269005967,469
bonemarrow,PRISM_opt10,0,0.2629994224122772,0.3610541058528674,2.148659581080776,35
bonemarrow,PRISM_opt10,1,0.2810201266937524,0.5708333333333334,1.7612422652272677,71
bonemarrow,PRISM_opt10,2,0.2645948923338752,0.3592997198879552,2.144861937088205,28
bonemarrow,PRISM_opt10,3,0.2696892279191298,0.4760541058528674,1.944521128794924,48
bonemarrow,PRISM_opt10,4,0.2696892279191298,0.4760541058528674,1.944521128794924,48
bonemarrow,PRISM_opt10,5,0.2899712140235645,0.572580111666799,2.015962306527435,62
bonemarrow,PRISM_opt10,6,0.2715551495647552,0.4716339869281046,1.8917718587677008,61
bonemarrow,PRISM_opt10,7,0.2632373887580967,0.4360541058528674,1.9868652945230167,45
bonemarrow,PRISM_opt10,8,0.2925206651728401,0.5188484030589293,1.9202892787418409,65
bonemarrow,PRISM_opt10,9,0.2936049475117425,0.5652271704903284,2.015854300533185,61
paul15,PRISM_opt0,0,0.5759473625849761,0.6602801120448178,2.245551816429617,69
paul15,PRISM_opt0,1,0.5567745111373571,0.7447281639928699,3.189864896913714,76
paul15,PRISM_opt0,2,0.5917105346663782,0.6149666509960626,2.358380236197978,68
paul15,PRISM_opt0,3,0.5692636283194031,0.6099837662337663,3.167972805855522,50
paul15,PRISM_opt0,4,0.5794781562409155,0.7221161191749426,2.4028398597542857,69
paul15,PRISM_opt0,5,0.5903084748581569,0.6534281894576012,2.434540824183909,81
paul15,PRISM_opt0,6,0.5800207775898991,0.6878991596638654,2.332499545280144,74
paul15,PRISM_opt0,7,0.5770613988214005,0.6922058823529411,2.2293339853742413,79
paul15,PRISM_opt0,8,0.5707993075634491,0.5169047619047619,2.87989370663731,46
paul15,PRISM_opt0,9,0.5815362062215689,0.7148944193061839,2.241298819472247,61
paul15,PRISM_opt10,0,0.6412654156843663,0.7071678321678323,3.142396333783115,79
paul15,PRISM_opt10,1,0.6305924607299439,0.7368686868686869,2.4300580215676617,108
paul15,PRISM_opt10,2,0.6361352223638519,0.7064102564102563,3.2544296846131564,73
paul15,PRISM_opt10,3,0.6360843820589008,0.7196969696969697,2.98791292165589,104
paul15,PRISM_opt10,4,0.6359367629231576,0.7508424908424909,2.9298542462327446,107
paul15,PRISM_opt10,5,0.6421377237212903,0.7230769230769232,3.143541233184304,79
paul15,PRISM_opt10,6,0.6348984272207885,0.726201923076923,3.152113732789312,80
paul15,PRISM_opt10,7,0.642662331184388,0.7230769230769232,2.8947192710915743,79
paul15,PRISM_opt10,8,0.6360843820589008,0.7196969696969697,2.98791292165589,104
paul15,PRISM_opt10,9,0.6421377237212905,0.7230769230769232,3.143541233184304,79
paul15,MALLET_opt0,0,0.5894750516284268,0.5554621848739496,2.6412797443376963,41
paul15,MALLET_opt0,1,0.587141385746469,0.6912878787878788,2.7137938465905407,43
paul15,MALLET_opt0,2,0.5810693774037765,0.5942296918767507,2.3320590807361805,53
paul15,MALLET_opt0,3,0.5858441487397776,0.6215686274509804,2.610150619170255,38
paul15,MALLET_opt0,4,0.5873876364234942,0.6516424751718869,2.4651183926809948,66
paul15,MALLET_opt0,5,0.586233524760326,0.5803512663806781,2.466988901581233,59
paul15,MALLET_opt0,6,0.5842529012779405,0.6125811688311689,2.354991735006953,50
paul15,MALLET_opt0,7,0.5960667509221582,0.6412362637362637,2.6093584517535247,77
paul15,MALLET_opt0,8,0.5869239570046498,0.7425534759358289,2.308324740348078,104
paul15,MALLET_opt0,9,0.5948641110075189,0.5654316271963331,2.721779991577986,42
paul15,MALLET_opt10,0,0.6299693447466199,0.7671266233766233,2.9431780431319416,86
paul15,MALLET_opt10,1,0.6271531735012548,0.6976461038961038,2.903926456784552,80
paul15,MALLET_opt10,2,0.6282859289353195,0.7512175324675324,2.9423826284353947,86
paul15,MALLET_opt10,3,0.6349288384508498,0.6943837412587412,2.899454615908656,79
paul15,MALLET_opt10,4,0.6303965180293009,0.7180194805194806,3.215085277232112,74
paul15,MALLET_opt10,5,0.6213866823916108,0.7492694805194805,3.1587407122583606,77
paul15,MALLET_opt10,6,0.6217376819722771,0.7484702797202797,2.6613588319799955,78
paul15,MALLET_opt10,7,0.6345507266469619,0.7102928321678321,2.902146871295394,80
paul15,MALLET_opt10,8,0.6348123440472022,0.726201923076923,3.152113732789312,80
paul15,MALLET_opt10,9,0.620406020436356,0.7484702797202797,2.7672881388868977,82
paul15,NMF,0,0.5118059030322423,0.5789215686274509,2.5614461287863084,65
paul15,NMF,1,0.5118059030322423,0.5789215686274509,2.5614461287863084,65
paul15,NMF,2,0.5118059030322423,0.5789215686274509,2.5614461287863084,65
paul15,NMF,3,0.5118059030322423,0.5789215686274509,2.5614461287863084,65
paul15,NMF,4,0.5118059030322423,0.5789215686274509,2.5614461287863084,65
paul15,NMF,5,0.5118059030322423,0.5789215686274509,2.5614461287863084,65
paul15,NMF,6,0.5118059030322423,0.5789215686274509,2.5614461287863084,65
paul15,NMF,7,0.5118059030322423,0.5789215686274509,2.5614461287863084,65
paul15,NMF,8,0.5118059030322423,0.5789215686274509,2.5614461287863084,65
paul15,NMF,9,0.5118059030322423,0.5789215686274509,2.5614461287863084,65
paul15,cNMF,0,0.3939128940710483,0.5670955882352942,1.9572328103467425,34
paul15,cNMF,1,0.3939128940710483,0.5670955882352942,1.9572328103467425,34
paul15,cNMF,2,0.3939128940710483,0.5670955882352942,1.9572328103467425,34
