gene,DM_1,DM_2,DM_3,DM_4,DM_5,selected,Pseudoorder-1,Pseudoorder-2,Pseudoorder-3
EGR1,-0.0005252048360257714,0.0009478009985699185,-0.002576108025134303,0.004482043028167268,-0.001009839173343689,Trajectory-3,0.0,0.0,292.0
ELANE,0.0004699147910160512,0.0013436574484505831,0.0036649051148312647,0.03310121483726357,0.00704643633452723,Trajectory-3,0.0,0.0,321.0
EMCN,-0.0010816307263445814,0.001092101042628439,-0.006287160920250327,-0.003969758067686838,0.006976790195737905,Other,0.0,0.0,0.0
ENG,-0.0011305162144728562,-0.0032652576396590333,-0.00282858922432818,-0.0012832199406607445,-0.008924049384855167,Other,0.0,0.0,0.0
EPHB1,0.08903998213559841,-0.005930909447963108,-0.005979019927303475,-0.011947247322834632,0.0008558440544055069,Trajectory-2,0.0,33.0,0.0
EPOR,-0.0024409431940051922,-0.025187768537938082,-0.0013585757889025521,-0.0023513605787133076,-0.016353489946167924,Trajectory-1,9.0,0.0,0.0
EPX,-0.00026706921642802913,0.0008169452035111749,0.0025252512409257516,0.001424617335004033,0.0008608318108593536,Trajectory-3,0.0,0.0,133.0
EXOC3L2,-0.0032150477093054715,-0.03949435838202258,-0.0006697362861333059,-0.001529045514222319,-0.014413787394233341,Trajectory-1,16.0,0.0,0.0
F2RL3,-0.0006108230943823703,0.0005118880554160351,0.001928977963738074,-0.001342406484420257,-0.0002135299576030427,Trajectory-3,0.0,0.0,120.0
F3,-0.0004984881846009152,0.00099350622926313,-0.0009298193988502746,0.002200551878210299,0.0005910029082211158,Trajectory-3,0.0,0.0,202.0
FAM129C,0.013304620528437035,0.0002305044385631383,0.0034822591096279683,0.011643974655270603,-0.0011881145314067984,Trajectory-2,0.0,13.0,0.0
FAM134B,-0.0005883516636873133,0.0009605557552211275,-0.0023509225211257576,0.0010566371160623312,-4.635347462399043e-05,Trajectory-3,0.0,0.0,225.0
FAM150B,-0.0005042811350082529,0.00037759840684188303,0.005084248283541638,-0.002049085633250106,0.00011261740926206357,Trajectory-3,0.0,0.0,79.0
FAM178B,-0.004553395922154486,-0.0641234775294236,-0.0012213716278453512,0.001476691592499136,-0.0027232567484690895,Trajectory-1,21.0,0.0,0.0
FAM3D,-2.4189040209839535e-05,0.0006291662539786459,0.006548643624503881,-0.0003975056522131902,0.0006984642282699425,Trajectory-3,0.0,0.0,78.0
