dataset,method,seed,spearman_abs,n_genes,sd,p05,p50,p95,n_draws
gastrulation_e75,prism_full,4,0.5490108130460131,14,,,,,
gastrulation_e75,prism_int,4,0.546554994465675,13,,,,,
gastrulation_e75,prism_full,5,0.08235162195690195,14,,,,,
gastrulation_e75,prism_int,5,0.05177889421253763,13,,,,,
gastrulation_e75,prism_full,6,0.5490108130460131,14,,,,,
gastrulation_e75,prism_int,6,0.546554994465675,13,,,,,
gastrulation_e75,prism_full,7,0.4597965559260359,14,,,,,
gastrulation_e75,prism_int,7,0.4314907851044803,13,,,,,
gastrulation_e75,prism_full,8,0.025162995597942262,14,,,,,
gastrulation_e75,prism_int,8,0.017259631404179212,13,,,,,
gastrulation_e75,prism_full,9,0.11895234282663615,14,,,,,
gastrulation_e75,prism_int,9,0.05177889421253763,13,,,,,
gastrulation_e75,random_full,-1,0.22665270903989432,14,0.16371409710816193,0.0183003604348671,0.19672887467482134,0.5398606328285794,10000.0
gastrulation_e75,random_int,-1,0.23406275170097215,13,0.16934174198701574,0.017259631404179212,0.20423897161612065,0.5580614154017944,10000.0
